/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection
/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection/layers/modules/l2norm.py:17: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  init.constant(self.weight,self.gamma)
Loading base network...
Initializing weights...
train.py:210: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  init.xavier_uniform(param)
Loading the dataset...
Training SSD on: VOC0712
Using the specified args:
Namespace(basenet='vgg16_reducedfc.pth', batch_size=64, cuda=True, dataset='VOC', dataset_root='data/VOCdevkit', gamma=0.1, lr=0.001, momentum=0.9, num_workers=0, resume=None, save_folder='weights/', start_iter=0, visdom=False, weight_decay=0.0005)
/content/drive/MyDrive/hzm/bjtu-gpa-2d-object-detection/utils/augmentations.py:374: VisibleDeprecationWarning: Creating an ndarray from ragged nested sequences (which is a list-or-tuple of lists-or-tuples-or ndarrays with different lengths or shapes) is deprecated. If you meant to do this, you must specify 'dtype=object' when creating the ndarray.
  mode = random.choice(self.sample_options)
/usr/local/lib/python3.7/dist-packages/torch/nn/_reduction.py:42: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
timer: 10.1814 sec.
iter 850 || Loss: 5.7359 || timer: 0.3859 sec.
iter 860 || Loss: 5.8368 || timer: 0.3849 sec.
iter 870 || Loss: 6.0031 || timer: 0.3849 sec.
iter 880 || Loss: 5.7606 || timer: 0.3894 sec.
iter 890 || Loss: 5.6882 || timer: 0.3839 sec.
iter 900 || Loss: 5.4805 || timer: 0.3843 sec.
iter 910 || Loss: 5.4915 || timer: 0.3834 sec.
iter 920 || Loss: 5.6320 || timer: 0.3912 sec.
iter 930 || Loss: 5.4145 || timer: 0.3880 sec.
iter 940 || Loss: 5.2562 || timer: 0.3854 sec.
iter 950 || Loss: 5.3849 || timer: 0.3868 sec.
iter 960 || Loss: 5.7361 || timer: 0.3861 sec.
iter 970 || Loss: 5.3590 || timer: 0.3855 sec.
iter 980 || Loss: 5.4948 || timer: 0.3847 sec.
iter 990 || Loss: 5.6646 || timer: 0.3847 sec.
iter 1000 || Loss: 5.6381 || timer: 0.3835 sec.
iter 1010 || Loss: 5.4420 || timer: 0.3836 sec.
iter 1020 || Loss: 5.7195 || timer: 0.3839 sec.
iter 1030 || Loss: 5.6369 || timer: 0.3848 sec.
iter 1040 || Loss: 5.2407 || timer: 0.3896 sec.
iter 1050 || Loss: 5.7422 || timer: 0.3834 sec.
iter 1060 || Loss: 5.4531 || timer: 0.3844 sec.
iter 1070 || Loss: 5.7988 || timer: 0.3836 sec.
iter 1080 || Loss: 5.3663 || timer: 0.3834 sec.
iter 1090 || Loss: 5.3295 || timer: 0.3848 sec.
iter 1100 || Loss: 5.4503 || timer: 0.3828 sec.
iter 1110 || Loss: 5.9274 || timer: 0.3823 sec.
iter 1120 || Loss: 5.3329 || timer: 0.3841 sec.
iter 1130 || Loss: 5.6188 || timer: 0.3958 sec.
iter 1140 || Loss: 5.6354 || timer: 0.3844 sec.
iter 1150 || Loss: 5.6378 || timer: 0.3846 sec.
iter 1160 || Loss: 5.4665 || timer: 0.3881 sec.
iter 1170 || Loss: 5.4665 || timer: 0.3852 sec.
iter 1180 || Loss: 5.0239 || timer: 0.3841 sec.
iter 1190 || Loss: 5.4434 || timer: 0.3845 sec.
iter 1200 || Loss: 5.1925 || timer: 0.3815 sec.
iter 1210 || Loss: 5.0504 || timer: 0.3835 sec.
